Tgl,Nama_Obat,Golongan,Pabrik,No_Batch,Dengan_Resep,Tgl_ED,Promo,Obat_Masuk,Obat_Keluar,Harga,Stok_Obat
01/01/2021,AMBROXOL ,Obat Bebas,Phapros,,Tidak,,Tidak ada,-,20,5000,220
04/01/2021,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,-,16,5000,103
04/01/2021,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,80,56000,60
04/01/2021,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,1,20000,131
04/01/2021,BUSCOPAN,Obat Keras,Sanofi,,Ya,,Tidak ada,-,60,50000,210
05/01/2021,LAPIBAL,Obat Keras,Lapi,,Ya,,Tidak ada,-,20,35000,277
05/01/2021,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,10,56000,50
05/01/2021,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,30,20000,101
05/01/2021,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,110,-,85000,231
07/01/2021,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,,84,5000,19
07/01/2021,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,20,20000,81
07/01/2021,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,-,10,85000,221
07/01/2021,AMBROXOL ,Obat Bebas,Phapros,,Tidak,,Tidak ada,100,60,5000,266
08/01/2021,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,60,-,5000,29
08/01/2021,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,20,56000,30
08/01/2021,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,-,11,50000,86
09/01/2021,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,-,10,5000,69
11/01/2021,LAPIBAL,Obat Keras,Lapi,,Ya,,Tidak ada,-,30,35000,247
12/01/2021,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,71,20000,61
12/01/2021,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,-,15,50000,71
14/01/2021,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,-,36,5000,33
15/01/2021,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,-,-,5000,53
15/01/2021,LAPIBAL,Obat Keras,Lapi,,Ya,,Tidak ada,-,20,35000,227
16/01/2021,AMBROXOL ,Obat Bebas,Phapros,,Tidak,,Tidak ada,-,26,5000,246
18/01/2021,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,-,10,5000,43
18/01/2021,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,10,20000,91
18/01/2021,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,-,60,85000,161
18/01/2021,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,-,30,50000,41
19/01/2021,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,-,10,5000,33
19/01/2021,LAPIBAL,Obat Keras,Lapi,,Ya,,Tidak ada,-,41,35000,186
19/01/2021,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,10,20000,81
19/01/2021,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,-,10,50000,31
